State,State Name,Year,Month,Indicator,Data Value,Predicted Value,Percent Complete,Percent Pending Investigation,Footnote
AK,AK,2018,February,Number of Deaths,4303,,100,0,Underreported due to incomplete data
AK,AK,2018,March,Number of Deaths,4284,,100,0,Underreported due to incomplete data
AK,AK,2015,January,Number of Drug Overdose Deaths,126,127,100,0,
AK,AK,2015,February,Number of Drug Overdose Deaths,127,128,100,0,
AK,AK,2015,March,Number of Drug Overdose Deaths,125,126,100,0,
AK,AK,2015,April,Number of Drug Overdose Deaths,126,127,100,0,
AK,AK,2015,May,Number of Drug Overdose Deaths,125,126,100,0,
AK,AK,2015,June,Number of Drug Overdose Deaths,121,122,100,0,
AK,AK,2015,July,Number of Drug Overdose Deaths,117,118,100,0,
AK,AK,2015,August,Number of Drug Overdose Deaths,124,125,100,0,
AK,AK,2015,September,Number of Drug Overdose Deaths,125,126,100,0,
AK,AK,2015,October,Number of Drug Overdose Deaths,120,121,100,0,
AK,AK,2015,November,Number of Drug Overdose Deaths,115,116,100,0,
AK,AK,2015,December,Number of Drug Overdose Deaths,121,122,100,0,
AK,AK,2016,January,Number of Drug Overdose Deaths,126,127,100,0,
AK,AK,2016,February,Number of Drug Overdose Deaths,128,129,100,0,
AK,AK,2016,March,Number of Drug Overdose Deaths,125,126,100,0,
AK,AK,2016,April,Number of Drug Overdose Deaths,132,133,100,0,
AK,AK,2016,May,Number of Drug Overdose Deaths,140,141,100,0,
AK,AK,2016,June,Number of Drug Overdose Deaths,138,139,100,0,
AK,AK,2016,July,Number of Drug Overdose Deaths,143,144,100,0,
AK,AK,2016,August,Number of Drug Overdose Deaths,138,140,100,0.023386342376052,
AK,AK,2016,September,Number of Drug Overdose Deaths,131,133,100,0.046992481203008,
AK,AK,2016,October,Number of Drug Overdose Deaths,131,134,100,0.069913773013284,
AK,AK,2016,November,Number of Drug Overdose Deaths,133,136,100,0.069946374446258,
AK,AK,2016,December,Number of Drug Overdose Deaths,129,131,100,0.068886337543054,
AK,AK,2017,January,Number of Drug Overdose Deaths,126,127,100,0.068587105624143,Underreported due to incomplete data
AK,AK,2017,February,Number of Drug Overdose Deaths,124,126,100,0.069013112491373,Underreported due to incomplete data
AK,AK,2017,March,Number of Drug Overdose Deaths,126,128,100,0.068823124569856,Underreported due to incomplete data
AK,AK,2017,April,Number of Drug Overdose Deaths,117,119,100,0.069364161849711,Underreported due to incomplete data
AK,AK,2017,May,Number of Drug Overdose Deaths,120,122,100,0.070142623334113,Underreported due to incomplete data
AK,AK,2017,June,Number of Drug Overdose Deaths,122,124,100,0.070159027128157,Underreported due to incomplete data
AK,AK,2017,July,Number of Drug Overdose Deaths,128,131,100,0.070804814727402,Underreported due to incomplete data
AK,AK,2017,August,Number of Drug Overdose Deaths,137,140,100,0.047225501770956,Underreported due to incomplete data
AK,AK,2017,September,Number of Drug Overdose Deaths,148,150,100,0.023255813953488,Underreported due to incomplete data
AK,AK,2017,October,Number of Drug Overdose Deaths,144,146,100,0,Underreported due to incomplete data
AK,AK,2017,November,Number of Drug Overdose Deaths,138,139,100,0,Underreported due to incomplete data
AK,AK,2017,December,Number of Drug Overdose Deaths,141,141,100,0,Underreported due to incomplete data
AK,AK,2018,January,Number of Drug Overdose Deaths,138,138,100,0,Underreported due to incomplete data
AK,AK,2018,February,Number of Drug Overdose Deaths,138,138,100,0,Underreported due to incomplete data
AK,AK,2018,March,Number of Drug Overdose Deaths,135,135,100,0,Underreported due to incomplete data
AL,AL,2015,January,Number of Deaths,49543,,100,0.337080919605191,
AL,AL,2015,February,Number of Deaths,50004,,100,0.323974082073434,
AL,AL,2015,March,Number of Deaths,50486,,100,0.30899655349998,
AL,AL,2015,April,Number of Deaths,50565,,100,0.316424404232176,
AL,AL,2015,May,Number of Deaths,50516,,100,0.318710903476126,
AL,AL,2015,June,Number of Deaths,50658,,100,0.341505783884085,
AL,AL,2015,July,Number of Deaths,50841,,100,0.330441966129699,
AL,AL,2015,August,Number of Deaths,50930,,100,0.331827999214608,
AL,AL,2015,September,Number of Deaths,51044,,100,0.323250528955411,
AL,AL,2015,October,Number of Deaths,51091,,100,0.309252118768472,
AL,AL,2015,November,Number of Deaths,51093,,100,0.2935822911162,
AL,AL,2015,December,Number of Deaths,50870,,100,0.310595635934736,
AL,AL,2016,January,Number of Deaths,50534,,100,0.302766454268413,
AL,AL,2016,February,Number of Deaths,50555,,100,0.282860251211552,
AL,AL,2016,March,Number of Deaths,50348,,100,0.282037022324621,
AL,AL,2016,April,Number of Deaths,50391,,100,0.27981187116747,
AL,AL,2016,May,Number of Deaths,50511,,100,0.283106650036626,
AL,AL,2016,June,Number of Deaths,50613,,100,0.264754114555549,
AL,AL,2016,July,Number of Deaths,50683,,100,0.278199790856895,
AL,AL,2016,August,Number of Deaths,50756,,100,0.264008196075341,
AL,AL,2016,September,Number of Deaths,50810,,100,0.265695729187168,
AL,AL,2016,October,Number of Deaths,50869,,100,0.287011736027836,
AL,AL,2016,November,Number of Deaths,51110,,100,0.275875562512229,
AL,AL,2016,December,Number of Deaths,51431,,100,0.270265015263168,
AL,AL,2017,January,Number of Deaths,51652,,100,0.259428482924185,Underreported due to incomplete data
AL,AL,2017,February,Number of Deaths,51542,,100,0.256101819875053,Underreported due to incomplete data
AL,AL,2017,March,Number of Deaths,51669,,100,0.251601540575587,Underreported due to incomplete data
AL,AL,2017,April,Number of Deaths,51796,,100,0.231678121862692,Underreported due to incomplete data
AL,AL,2017,May,Number of Deaths,51945,,100,0.213687554143806,Underreported due to incomplete data
AL,AL,2017,June,Number of Deaths,52002,,100,0.205761316872428,Underreported due to incomplete data
AL,AL,2017,July,Number of Deaths,52037,,100,0.188327536176182,Underreported due to incomplete data
AL,AL,2017,August,Number of Deaths,52077,,100,0.18434241603779,Underreported due to incomplete data
AL,AL,2017,September,Number of Deaths,52235,,100,0.174212692639035,Underreported due to incomplete data
AL,AL,2017,October,Number of Deaths,52272,,100,0.158784817875727,Underreported due to incomplete data
AL,AL,2017,November,Number of Deaths,52262,,100,0.162642072634036,Underreported due to incomplete data
AL,AL,2017,December,Number of Deaths,52316,,100,0.141448122945179,Underreported due to incomplete data
AL,AL,2018,January,Number of Deaths,53111,,100,0.152510779311254,Underreported due to incomplete data
AL,AL,2018,February,Number of Deaths,53271,,100,0.165193069399861,Underreported due to incomplete data
AL,AL,2018,March,Number of Deaths,53210,,100,0.176658522834054,Underreported due to incomplete data
AL,AL,2015,January,Number of Drug Overdose Deaths,715,761,100,0.337080919605191,
AL,AL,2015,February,Number of Drug Overdose Deaths,723,768,100,0.323974082073434,
AL,AL,2015,March,Number of Drug Overdose Deaths,733,776,100,0.30899655349998,
AL,AL,2015,April,Number of Drug Overdose Deaths,738,783,100,0.316424404232176,
AL,AL,2015,May,Number of Drug Overdose Deaths,755,801,100,0.318710903476126,
AL,AL,2015,June,Number of Drug Overdose Deaths,756,806,100,0.341505783884085,
AL,AL,2015,July,Number of Drug Overdose Deaths,743,790,100,0.330441966129699,
AL,AL,2015,August,Number of Drug Overdose Deaths,736,783,100,0.331827999214608,
AL,AL,2015,September,Number of Drug Overdose Deaths,744,790,100,0.323250528955411,
AL,AL,2015,October,Number of Drug Overdose Deaths,730,773,100,0.309252118768472,
AL,AL,2015,November,Number of Drug Overdose Deaths,725,766,100,0.2935822911162,
AL,AL,2015,December,Number of Drug Overdose Deaths,720,763,100,0.310595635934736,
AL,AL,2016,January,Number of Drug Overdose Deaths,706,747,100,0.302766454268413,
AL,AL,2016,February,Number of Drug Overdose Deaths,710,749,100,0.282860251211552,
AL,AL,2016,March,Number of Drug Overdose Deaths,681,718,100,0.282037022324621,
AL,AL,2016,April,Number of Drug Overdose Deaths,676,712,100,0.27981187116747,
AL,AL,2016,May,Number of Drug Overdose Deaths,654,690,100,0.283106650036626,
AL,AL,2016,June,Number of Drug Overdose Deaths,674,708,100,0.264754114555549,
AL,AL,2016,July,Number of Drug Overdose Deaths,681,718,100,0.278199790856895,
AL,AL,2016,August,Number of Drug Overdose Deaths,685,720,100,0.264008196075341,
AL,AL,2016,September,Number of Drug Overdose Deaths,695,731,100,0.265695729187168,
AL,AL,2016,October,Number of Drug Overdose Deaths,704,743,100,0.287011736027836,
AL,AL,2016,November,Number of Drug Overdose Deaths,718,756,100,0.275875562512229,
AL,AL,2016,December,Number of Drug Overdose Deaths,740,779,100,0.270265015263168,
AL,AL,2017,January,Number of Drug Overdose Deaths,763,794,100,0.259428482924185,Underreported due to incomplete data
AL,AL,2017,February,Number of Drug Overdose Deaths,759,793,100,0.256101819875053,Underreported due to incomplete data
AL,AL,2017,March,Number of Drug Overdose Deaths,794,829,100,0.251601540575587,Underreported due to incomplete data
AL,AL,2017,April,Number of Drug Overdose Deaths,795,828,100,0.231678121862692,Underreported due to incomplete data
AL,AL,2017,May,Number of Drug Overdose Deaths,812,843,100,0.213687554143806,Underreported due to incomplete data
AL,AL,2017,June,Number of Drug Overdose Deaths,804,836,100,0.205761316872428,Underreported due to incomplete data
AL,AL,2017,July,Number of Drug Overdose Deaths,809,841,100,0.188327536176182,Underreported due to incomplete data
AL,AL,2017,August,Number of Drug Overdose Deaths,808,843,100,0.18434241603779,Underreported due to incomplete data
AL,AL,2017,September,Number of Drug Overdose Deaths,800,832,100,0.174212692639035,Underreported due to incomplete data
AL,AL,2017,October,Number of Drug Overdose Deaths,801,829,100,0.158784817875727,Underreported due to incomplete data
AL,AL,2017,November,Number of Drug Overdose Deaths,799,825,100,0.162642072634036,Underreported due to incomplete data
AL,AL,2017,December,Number of Drug Overdose Deaths,807,825,100,0.141448122945179,Underreported due to incomplete data
AL,AL,2018,January,Number of Drug Overdose Deaths,786,803,100,0.152510779311254,Underreported due to incomplete data
AL,AL,2018,February,Number of Drug Overdose Deaths,794,816,100,0.165193069399861,Underreported due to incomplete data
AL,AL,2018,March,Number of Drug Overdose Deaths,776,800,100,0.176658522834054,Underreported due to incomplete data
AR,AR,2015,January,Number of Deaths,30122,,100,0.049797490206494,
AR,AR,2015,February,Number of Deaths,30332,,100,0.046155874983516,
AR,AR,2015,March,Number of Deaths,30387,,100,0.046072333563695,
AR,AR,2015,April,Number of Deaths,30444,,100,0.039416633819472,
AR,AR,2015,May,Number of Deaths,30602,,100,0.042480883602379,
AR,AR,2015,June,Number of Deaths,30722,,100,0.042314953453551,
AR,AR,2015,July,Number of Deaths,30685,,100,0.04888381945576,
AR,AR,2015,August,Number of Deaths,30884,,100,0.04856883823339,
AR,AR,2015,September,Number of Deaths,30931,,100,0.061427047298826,
AR,AR,2015,October,Number of Deaths,31015,,100,0.058036433983556,
AR,AR,2015,November,Number of Deaths,31007,,100,0.061276485954784,
AR,AR,2015,December,Number of Deaths,30986,,100,0.070999806364164,
AR,AR,2016,January,Number of Deaths,30624,,100,0.07183908045977,
AR,AR,2016,February,Number of Deaths,30413,,100,0.072337487258738,
AR,AR,2016,March,Number of Deaths,30421,,100,0.075605667137832,
AR,AR,2016,April,Number of Deaths,30489,,100,0.07871691429696,
AR,AR,2016,May,Number of Deaths,30361,,100,0.079048779684464,
AR,AR,2016,June,Number of Deaths,30434,,100,0.078859170664388,
AR,AR,2016,July,Number of Deaths,30590,,100,0.075187969924812,
AR,AR,2016,August,Number of Deaths,30488,,100,0.078719496195224,
AR,AR,2016,September,Number of Deaths,30540,,100,0.068762278978389,
AR,AR,2016,October,Number of Deaths,30489,,100,0.07543704286792,
AR,AR,2016,November,Number of Deaths,30697,,100,0.074925888523308,
AR,AR,2016,December,Number of Deaths,31028,,100,0.070903699883976,
AR,AR,2017,January,Number of Deaths,31115,,100,0.073919331512132,Underreported due to incomplete data
AR,AR,2017,February,Number of Deaths,31158,,100,0.083445664034919,Underreported due to incomplete data
AR,AR,2017,March,Number of Deaths,31311,,100,0.076650378461244,Underreported due to incomplete data
AR,AR,2017,April,Number of Deaths,31385,,100,0.076469651107217,Underreported due to incomplete data
AR,AR,2017,May,Number of Deaths,31499,,100,0.079367598971396,Underreported due to incomplete data
AR,AR,2017,June,Number of Deaths,31558,,100,0.076050446796375,Underreported due to incomplete data
AR,AR,2017,July,Number of Deaths,31553,,100,0.076062498019206,Underreported due to incomplete data
AR,AR,2017,August,Number of Deaths,31600,,100,0.069620253164557,Underreported due to incomplete data
AR,AR,2017,September,Number of Deaths,31722,,100,0.072504886198852,Underreported due to incomplete data
AR,AR,2017,October,Number of Deaths,31728,,100,0.06933938477055,Underreported due to incomplete data
AR,AR,2017,November,Number of Deaths,31658,,100,0.075810221744899,Underreported due to incomplete data
AR,AR,2017,December,Number of Deaths,31827,,100,0.056555754548025,Underreported due to incomplete data
AR,AR,2018,January,Number of Deaths,32295,,100,0.061929091190587,Underreported due to incomplete data
AR,AR,2018,February,Number of Deaths,32399,,100,0.058643785302016,Underreported due to incomplete data
AR,AR,2018,March,Number of Deaths,32197,,100,0.071435226884492,Underreported due to incomplete data
AR,AR,2015,January,Number of Drug Overdose Deaths,366,371,100,0.049797490206494,
AR,AR,2015,February,Number of Drug Overdose Deaths,366,371,100,0.046155874983516,
AR,AR,2015,March,Number of Drug Overdose Deaths,385,390,100,0.046072333563695,
AR,AR,2015,April,Number of Drug Overdose Deaths,373,377,100,0.039416633819472,
AR,AR,2015,May,Number of Drug Overdose Deaths,383,388,100,0.042480883602379,
AR,AR,2015,June,Number of Drug Overdose Deaths,391,396,100,0.042314953453551,
AR,AR,2015,July,Number of Drug Overdose Deaths,395,400,100,0.04888381945576,
AR,AR,2015,August,Number of Drug Overdose Deaths,398,403,100,0.04856883823339,
AR,AR,2015,September,Number of Drug Overdose Deaths,392,398,100,0.061427047298826,
AR,AR,2015,October,Number of Drug Overdose Deaths,397,403,100,0.058036433983556,
AR,AR,2015,November,Number of Drug Overdose Deaths,389,395,100,0.061276485954784,
AR,AR,2015,December,Number of Drug Overdose Deaths,381,387,100,0.070999806364164,
AR,AR,2016,January,Number of Drug Overdose Deaths,378,384,100,0.07183908045977,
AR,AR,2016,February,Number of Drug Overdose Deaths,379,386,100,0.072337487258738,
AR,AR,2016,March,Number of Drug Overdose Deaths,363,369,100,0.075605667137832,
AR,AR,2016,April,Number of Drug Overdose Deaths,372,379,100,0.07871691429696,
AR,AR,2016,May,Number of Drug Overdose Deaths,376,383,100,0.079048779684464,
AR,AR,2016,June,Number of Drug Overdose Deaths,369,376,100,0.078859170664388,
AR,AR,2016,July,Number of Drug Overdose Deaths,378,385,100,0.075187969924812,
AR,AR,2016,August,Number of Drug Overdose Deaths,383,390,100,0.078719496195224,
AR,AR,2016,September,Number of Drug Overdose Deaths,379,385,100,0.068762278978389,
AR,AR,2016,October,Number of Drug Overdose Deaths,372,379,100,0.07543704286792,
AR,AR,2016,November,Number of Drug Overdose Deaths,378,385,100,0.074925888523308,
AR,AR,2016,December,Number of Drug Overdose Deaths,386,393,100,0.070903699883976,
AR,AR,2017,January,Number of Drug Overdose Deaths,384,387,100,0.073919331512132,Underreported due to incomplete data
AR,AR,2017,February,Number of Drug Overdose Deaths,380,386,100,0.083445664034919,Underreported due to incomplete data
AR,AR,2017,March,Number of Drug Overdose Deaths,384,389,100,0.076650378461244,Underreported due to incomplete data
AR,AR,2017,April,Number of Drug Overdose Deaths,386,392,100,0.076469651107217,Underreported due to incomplete data
AR,AR,2017,May,Number of Drug Overdose Deaths,383,389,100,0.079367598971396,Underreported due to incomplete data
AR,AR,2017,June,Number of Drug Overdose Deaths,398,405,100,0.076050446796375,Underreported due to incomplete data
AR,AR,2017,July,Number of Drug Overdose Deaths,395,403,100,0.076062498019206,Underreported due to incomplete data
AR,AR,2017,August,Number of Drug Overdose Deaths,406,416,100,0.069620253164557,Underreported due to incomplete data
AR,AR,2017,September,Number of Drug Overdose Deaths,413,422,100,0.072504886198852,Underreported due to incomplete data
AR,AR,2017,October,Number of Drug Overdose Deaths,410,418,100,0.06933938477055,Underreported due to incomplete data
AR,AR,2017,November,Number of Drug Overdose Deaths,411,418,100,0.075810221744899,Underreported due to incomplete data
AR,AR,2017,December,Number of Drug Overdose Deaths,425,428,100,0.056555754548025,Underreported due to incomplete data
AR,AR,2018,January,Number of Drug Overdose Deaths,426,429,100,0.061929091190587,Underreported due to incomplete data
AR,AR,2018,February,Number of Drug Overdose Deaths,424,428,100,0.058643785302016,Underreported due to incomplete data
AR,AR,2018,March,Number of Drug Overdose Deaths,429,434,100,0.071435226884492,Underreported due to incomplete data
AZ,AZ,2015,January,Number of Deaths,52342,,100,0.326697489587712,
AZ,AZ,2015,February,Number of Deaths,52371,,100,0.349430028068969,
AZ,AZ,2015,March,Number of Deaths,52826,,100,0.34263430886306,
AZ,AZ,2015,April,Number of Deaths,53025,,100,0.341348420556341,
AZ,AZ,2015,May,Number of Deaths,53225,,100,0.336308125880695,
AZ,AZ,2015,June,Number of Deaths,53462,,100,0.33481725337623,
AZ,AZ,2015,July,Number of Deaths,53685,,100,0.324112880692931,
AZ,AZ,2015,August,Number of Deaths,53907,,100,0.293097371398891,
AZ,AZ,2015,September,Number of Deaths,54058,,100,0.270080284139258,
AZ,AZ,2015,October,Number of Deaths,54122,,100,0.249436458371827,
AZ,AZ,2015,November,Number of Deaths,54421,,100,0.224178166516602,
AZ,AZ,2015,December,Number of Deaths,54853,,100,0.196889869287003,
AZ,AZ,2016,January,Number of Deaths,54917,,100,0.160241819473023,
AZ,AZ,2016,February,Number of Deaths,55755,,100,0.139897767016411,
AZ,AZ,2016,March,Number of Deaths,56319,,100,0.154477174665743,
AZ,AZ,2016,April,Number of Deaths,56436,,100,0.173648026082642,
AZ,AZ,2016,May,Number of Deaths,56522,,100,0.20169137680903,
AZ,AZ,2016,June,Number of Deaths,56648,,100,0.26126253354046,
AZ,AZ,2016,July,Number of Deaths,56865,,100,0.332366130308626,
AZ,AZ,2016,August,Number of Deaths,56960,,100,0.372191011235955,
AZ,AZ,2016,September,Number of Deaths,57051,,100,0.394383972235368,
AZ,AZ,2016,October,Number of Deaths,57277,,100,0.464409797999197,
AZ,AZ,2016,November,Number of Deaths,57252,,100,0.520505833857333,
AZ,AZ,2016,December,Number of Deaths,57215,,100,0.61871886742987,
AZ,AZ,2017,January,Number of Deaths,57221,,100,0.618653990667762,Underreported due to incomplete data
AZ,AZ,2017,February,Number of Deaths,56609,,100,0.625342260064654,Underreported due to incomplete data
AZ,AZ,2017,March,Number of Deaths,56269,,100,0.627343652810606,Underreported due to incomplete data
AZ,AZ,2017,April,Number of Deaths,56454,,100,0.61643107662876,Underreported due to incomplete data
AZ,AZ,2017,May,Number of Deaths,56721,,100,0.595899226036212,Underreported due to incomplete data
AZ,AZ,2017,June,Number of Deaths,57013,,100,0.561275498570501,Underreported due to incomplete data
AZ,AZ,2017,July,Number of Deaths,57215,,100,0.519094643013196,Underreported due to incomplete data
AZ,AZ,2017,August,Number of Deaths,57310,,100,0.499040307101727,Underreported due to incomplete data
AZ,AZ,2017,September,Number of Deaths,57531,,100,0.481479550155568,Underreported due to incomplete data
AZ,AZ,2017,October,Number of Deaths,57694,,100,0.403854820258606,Underreported due to incomplete data
AZ,AZ,2017,November,Number of Deaths,57852,,100,0.362995229205559,Underreported due to incomplete data
AZ,AZ,2017,December,Number of Deaths,58440,,100,0.254962354551677,Underreported due to incomplete data
AZ,AZ,2018,January,Number of Deaths,59581,,100,0.281969084103993,Underreported due to incomplete data
AZ,AZ,2018,February,Number of Deaths,59891,,100,0.29052779215575,Underreported due to incomplete data
AZ,AZ,2018,March,Number of Deaths,60180,,100,0.30242605516783,Underreported due to incomplete data
AZ,AZ,2015,January,Number of Drug Overdose Deaths,1193,1267,100,0.326697489587712,
AZ,AZ,2015,February,Number of Drug Overdose Deaths,1175,1253,100,0.349430028068969,
AZ,AZ,2015,March,Number of Drug Overdose Deaths,1174,1251,100,0.34263430886306,
AZ,AZ,2015,April,Number of Drug Overdose Deaths,1173,1249,100,0.341348420556341,
AZ,AZ,2015,May,Number of Drug Overdose Deaths,1184,1260,100,0.336308125880695,
AZ,AZ,2015,June,Number of Drug Overdose Deaths,1209,1286,100,0.33481725337623,
AZ,AZ,2015,July,Number of Drug Overdose Deaths,1201,1275,100,0.324112880692931,
AZ,AZ,2015,August,Number of Drug Overdose Deaths,1240,1310,100,0.293097371398891,
AZ,AZ,2015,September,Number of Drug Overdose Deaths,1241,1305,100,0.270080284139258,
AZ,AZ,2015,October,Number of Drug Overdose Deaths,1264,1325,100,0.249436458371827,
AZ,AZ,2015,November,Number of Drug Overdose Deaths,1269,1324,100,0.224178166516602,
AZ,AZ,2015,December,Number of Drug Overdose Deaths,1267,1316,100,0.196889869287003,
AZ,AZ,2016,January,Number of Drug Overdose Deaths,1298,1339,100,0.160241819473023,
AZ,AZ,2016,February,Number of Drug Overdose Deaths,1307,1344,100,0.139897767016411,
AZ,AZ,2016,March,Number of Drug Overdose Deaths,1313,1353,100,0.154477174665743,
AZ,AZ,2016,April,Number of Drug Overdose Deaths,1335,1381,100,0.173648026082642,
AZ,AZ,2016,May,Number of Drug Overdose Deaths,1350,1403,100,0.20169137680903,
AZ,AZ,2016,June,Number of Drug Overdose Deaths,1370,1439,100,0.26126253354046,
AZ,AZ,2016,July,Number of Drug Overdose Deaths,1421,1511,100,0.332366130308626,
AZ,AZ,2016,August,Number of Drug Overdose Deaths,1410,1510,100,0.372191011235955,
AZ,AZ,2016,September,Number of Drug Overdose Deaths,1404,1510,100,0.394383972235368,
AZ,AZ,2016,October,Number of Drug Overdose Deaths,1405,1530,100,0.464409797999197,
AZ,AZ,2016,November,Number of Drug Overdose Deaths,1397,1537,100,0.520505833857333,
AZ,AZ,2016,December,Number of Drug Overdose Deaths,1393,1561,100,0.61871886742987,
AZ,AZ,2017,January,Number of Drug Overdose Deaths,1417,1573,100,0.618653990667762,Underreported due to incomplete data
AZ,AZ,2017,February,Number of Drug Overdose Deaths,1411,1575,100,0.625342260064654,Underreported due to incomplete data
AZ,AZ,2017,March,Number of Drug Overdose Deaths,1429,1596,100,0.627343652810606,Underreported due to incomplete data
AZ,AZ,2017,April,Number of Drug Overdose Deaths,1418,1582,100,0.61643107662876,Underreported due to incomplete data
AZ,AZ,2017,May,Number of Drug Overdose Deaths,1437,1597,100,0.595899226036212,Underreported due to incomplete data
AZ,AZ,2017,June,Number of Drug Overdose Deaths,1455,1613,100,0.561275498570501,Underreported due to incomplete data
AZ,AZ,2017,July,Number of Drug Overdose Deaths,1450,1599,100,0.519094643013196,Underreported due to incomplete data
AZ,AZ,2017,August,Number of Drug Overdose Deaths,1468,1621,100,0.499040307101727,Underreported due to incomplete data
AZ,AZ,2017,September,Number of Drug Overdose Deaths,1492,1640,100,0.481479550155568,Underreported due to incomplete data
AZ,AZ,2017,October,Number of Drug Overdose Deaths,1503,1625,100,0.403854820258606,Underreported due to incomplete data
AZ,AZ,2017,November,Number of Drug Overdose Deaths,1517,1623,100,0.362995229205559,Underreported due to incomplete data
AZ,AZ,2017,December,Number of Drug Overdose Deaths,1555,1621,100,0.254962354551677,Underreported due to incomplete data
AZ,AZ,2018,January,Number of Drug Overdose Deaths,1567,1637,100,0.281969084103993,Underreported due to incomplete data
AZ,AZ,2018,February,Number of Drug Overdose Deaths,1577,1657,100,0.29052779215575,Underreported due to incomplete data
AZ,AZ,2018,March,Number of Drug Overdose Deaths,1585,1669,100,0.30242605516783,Underreported due to incomplete data
CA,CA,2015,January,Number of Deaths,248191,,100,0.238123058450951,
CA,CA,2015,February,Number of Deaths,249920,,100,0.230873879641485,
CA,CA,2015,March,Number of Deaths,251540,,100,0.224616363202672,
CA,CA,2015,April,Number of Deaths,252831,,100,0.222678389912629,
CA,CA,2015,May,Number of Deaths,253858,,100,0.217444398049303,
CA,CA,2015,June,Number of Deaths,254838,,100,0.219747447397955,
CA,CA,2015,July,Number of Deaths,255417,,100,0.224339022069792,
CA,CA,2015,August,Number of Deaths,256464,,100,0.233950963877971,
CA,CA,2015,September,Number of Deaths,257163,,100,0.255868845829299,
CA,CA,2015,October,Number of Deaths,257750,,100,0.278952473326867,
CA,CA,2015,November,Number of Deaths,258808,,100,0.308336682019103,
CA,CA,2015,December,Number of Deaths,260172,,100,0.355918392448073,
CA,CA,2016,January,Number of Deaths,259303,,100,0.359810723362244,
CA,CA,2016,February,Number of Deaths,260508,,100,0.363904371458842,
CA,CA,2016,March,Number of Deaths,261416,,100,0.371438626556905,
CA,CA,2016,April,Number of Deaths,261595,,100,0.377683059691508,
CA,CA,2016,May,Number of Deaths,261557,,100,0.391883987046801,
CA,CA,2016,June,Number of Deaths,261467,,100,0.396990824845965,
CA,CA,2016,July,Number of Deaths,261603,,100,0.410163492008884,
CA,CA,2016,August,Number of Deaths,261781,,100,0.420198562920915,
CA,CA,2016,September,Number of Deaths,262041,,100,0.419781637224709,
CA,CA,2016,October,Number of Deaths,262751,,100,0.417124958611004,
CA,CA,2016,November,Number of Deaths,262360,,100,0.392971489556335,
CA,CA,2016,December,Number of Deaths,263199,,100,0.363983145832621,
CA,CA,2017,January,Number of Deaths,265340,,100,0.364814954398131,Underreported due to incomplete data
CA,CA,2017,February,Number of Deaths,264889,,100,0.363548505222942,Underreported due to incomplete data
